127.0.0.1 - - [12/Feb/2024:17:48:40 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:48:41 +0530] "GET /RegistrationApplication/ HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:48:41 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:48:49 +0530] "GET /RegistrationApplication/Register.html HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:49:08 +0530] "GET /RegistrationApplication/ HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:49:08 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:49:19 +0530] "GET /RegistrationApplication/Registration.html HTTP/1.1" 200 1927
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:50:01 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 500 1284
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:50:58 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 500 1284
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:50:58 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 500 1284
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:50:58 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 500 1284
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:50:59 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 500 1284
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:50:59 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 500 1284
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:51:11 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 275
